feature,importance
feature_usage_score,0.18221110953769176
activity_score,0.1732551413020883
days_active_last_30,0.13546336352254484
sessions_last_30,0.09287214550925971
engagement_level_low,0.0634444616228412
support_intensity,0.05873251660365615
last_login_days_ago,0.05047892458737484
usage_per_session,0.044603902663115466
avg_session_duration,0.040864331953512016
monthly_fee,0.03895608387283612
days_since_signup,0.030156328739615393
engagement_level_medium,0.02202354602820779
support_tickets_last_30,0.013632473963738935
payments_failed_last_90,0.013498498121621289
payment_risk_score,0.011662415829943517
plan_type_basic,0.005053942708130105
country_US,0.0041177825323911775
plan_type_standard,0.0038712386727819755
engagement_level_high,0.0036484149313755817
country_DE,0.0024986681151598143
country_IN,0.0022929064266693903
plan_type_premium,0.002043064455527822
country_FR,0.001783818274781556
country_ES,0.001124106965935517
country_PL,0.0006339334533705035
country_NL,0.0005895085525847836
country_BR,0.00048737105324438016
